Student	Test	Class	Scale	MResponse
43	Post	C-3	C	3.83333333333333
44	Post	C-2	C	3.83333333333333
45	Post	C-2	C	4
46	Post	C-3	C	2.5
47	Post	C-2	C	3.5
48	Post	C-3	C	3.33333333333333
49	Post	C-1	C	3.83333333333333
50	Post	C-2	C	4.16666666666667
51	Post	C-2	C	4.5
1	Pre	C-2	D	2.88888888888889
2	Pre	C-3	D	1.33333333333333
3	Pre	C-1	D	3.88888888888889
5	Pre	C-2	D	2.77777777777778
6	Pre	C-3	D	2.11111111111111
8	Pre	C-2	D	2.66666666666667
9	Pre	C-3	D	2.55555555555556
10	Pre	C-3	D	2.33333333333333
12	Pre	C-3	D	2.55555555555556
13	Pre	C-3	D	2.22222222222222
14	Pre	C-1	D	2.33333333333333
15	Pre	C-3	D	3
16	Pre	C-3	D	1.66666666666667
17	Pre	C-1	D	4.11111111111111
18	Pre	C-1	D	3.88888888888889
19	Pre	C-1	D	2.44444444444444
20	Pre	C-1	D	2.55555555555556
21	Pre	C-3	D	3.22222222222222
22	Pre	C-2	D	2.66666666666667
23	Pre	C-1	D	2.44444444444444
24	Pre	C-3	D	2.11111111111111
25	Pre	C-1	D	4.11111111111111
26	Pre	C-2	D	3.33333333333333
27	Pre	C-1	D	2.66666666666667
28	Pre	C-1	D	2.77777777777778
29	Pre	C-1	D	4.33333333333333
30	Pre	C-3	D	2.33333333333333
31	Pre	C-2	D	1.22222222222222
32	Pre	C-1	D	2.22222222222222
33	Pre	C-2	D	2.77777777777778
35	Pre	C-2	D	4.44444444444444
36	Pre	C-1	D	3.66666666666667
37	Pre	C-1	D	2.55555555555556
38	Pre	C-2	D	3.33333333333333
39	Pre	C-2	D	2.66666666666667
40	Pre	C-3	D	1.11111111111111
41	Pre	C-2	D	4.44444444444444
42	Pre	C-2	D	2.66666666666667
43	Pre	C-3	D	2.11111111111111
44	Pre	C-2	D	3.66666666666667
45	Pre	C-2	D	3
46	Pre	C-3	D	2.22222222222222
47	Pre	C-2	D	3
48	Pre	C-3	D	2.77777777777778
49	Pre	C-1	D	2.88888888888889
50	Pre	C-2	D	3.88888888888889
51	Pre	C-2	D	3
1	Post	C-2	D	2.44444444444444
2	Post	C-3	D	2.77777777777778
3	Post	C-1	D	3.55555555555556
5	Post	C-2	D	3
6	Post	C-3	D	2.55555555555556
8	Post	C-2	D	3
9	Post	C-3	D	2.66666666666667
10	Post	C-3	D	3
12	Post	C-3	D	3.44444444444444
13	Post	C-3	D	2.55555555555556
14	Post	C-1	D	1.77777777777778
15	Post	C-3	D	2.66666666666667
16	Post	C-3	D	1.66666666666667
17	Post	C-1	D	3.55555555555556
18	Post	C-1	D	3.88888888888889
19	Post	C-1	D	3.11111111111111
20	Post	C-1	D	3
21	Post	C-3	D	4.88888888888889
22	Post	C-2	D	3.77777777777778
23	Post	C-1	D	3.55555555555556
24	Post	C-3	D	2.22222222222222
25	Post	C-1	D	4.33333333333333
26	Post	C-2	D	2.88888888888889
27	Post	C-1	D	2.77777777777778
28	Post	C-1	D	2.66666666666667
29	Post	C-1	D	4.88888888888889
30	Post	C-3	D	2.88888888888889
31	Post	C-2	D	1.55555555555556
32	Post	C-1	D	2.22222222222222
33	Post	C-2	D	2.77777777777778
35	Post	C-2	D	2.66666666666667
36	Post	C-1	D	2.44444444444444
37	Post	C-1	D	3.11111111111111
38	Post	C-2	D	3.44444444444444
39	Post	C-2	D	2.22222222222222
40	Post	C-3	D	3.44444444444444
41	Post	C-2	D	3.77777777777778
42	Post	C-2	D	2.55555555555556
43	Post	C-3	D	3.22222222222222
44	Post	C-2	D	3.55555555555556
45	Post	C-2	D	3.33333333333333
46	Post	C-3	D	3
47	Post	C-2	D	3.55555555555556
48	Post	C-3	D	3.22222222222222
49	Post	C-1	D	3.44444444444444
50	Post	C-2	D	3.33333333333333
51	Post	C-2	D	2.66666666666667
1	Pre	C-2	E	2.83333333333333
2	Pre	C-3	E	1.33333333333333
3	Pre	C-1	E	3.16666666666667
5	Pre	C-2	E	2.83333333333333
6	Pre	C-3	E	1.66666666666667
8	Pre	C-2	E	1.83333333333333
9	Pre	C-3	E	2
10	Pre	C-3	E	1.66666666666667
12	Pre	C-3	E	2.16666666666667
13	Pre	C-3	E	2.5
14	Pre	C-1	E	1.33333333333333
15	Pre	C-3	E	1.33333333333333
16	Pre	C-3	E	1.66666666666667
17	Pre	C-1	E	2.83333333333333
18	Pre	C-1	E	3.33333333333333
19	Pre	C-1	E	2.16666666666667
20	Pre	C-1	E	2.16666666666667
21	Pre	C-3	E	2.5
22	Pre	C-2	E	2.5
23	Pre	C-1	E	1.83333333333333
24	Pre	C-3	E	2
25	Pre	C-1	E	3.66666666666667
26	Pre	C-2	E	2.5
27	Pre	C-1	E	2.16666666666667
28	Pre	C-1	E	2.83333333333333
29	Pre	C-1	E	2.83333333333333
30	Pre	C-3	E	2.83333333333333
31	Pre	C-2	E	1.33333333333333
32	Pre	C-1	E	1.5
33	Pre	C-2	E	1.66666666666667
35	Pre	C-2	E	4
36	Pre	C-1	E	3.16666666666667
37	Pre	C-1	E	2.5
38	Pre	C-2	E	3.5
39	Pre	C-2	E	2
40	Pre	C-3	E	1
41	Pre	C-2	E	2.83333333333333
42	Pre	C-2	E	1.66666666666667
43	Pre	C-3	E	2.16666666666667
44	Pre	C-2	E	2.83333333333333
45	Pre	C-2	E	2.66666666666667
46	Pre	C-3	E	1.83333333333333
47	Pre	C-2	E	2.16666666666667
48	Pre	C-3	E	2.5
49	Pre	C-1	E	2.5
50	Pre	C-2	E	3.83333333333333
51	Pre	C-2	E	2.66666666666667
1	Post	C-2	E	2.66666666666667
2	Post	C-3	E	2.83333333333333
